,Base Country,Base Country Lat,Base Country Lng,Relation Country,Relation Country Lat,Relation Country Lng,Men,Women,Children,Sex Trafficking,Forced Labor,Debt Bondage,Description
55,Bahrain,26.0667,50.5577,Thailand,15.870032,100.992541,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
56,Bahrain,26.0667,50.5577,Russia,61.52401,105.318756,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
57,Bahrain,26.0667,50.5577,Philippines,12.879721,121.774017,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
58,Bahrain,26.0667,50.5577,Thailand,15.870032,100.992541,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
59,Bahrain,26.0667,50.5577,Nepal,28.394857,84.12400799999999,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
60,Bahrain,26.0667,50.5577,Bangladesh,23.684994,90.356331,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
61,Bahrain,26.0667,50.5577,Egypt,26.820553,30.802498,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
62,Bahrain,26.0667,50.5577,India,20.593684,78.96288,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
63,Bahrain,26.0667,50.5577,Pakistan,30.375321,69.34511599999999,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
64,Bahrain,26.0667,50.5577,Kenya,-0.023559,37.906193,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
65,Bahrain,26.0667,50.5577,Jordan,30.585164,36.238414,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
66,Bangladesh,23.684994,90.356331,United States,37.09024,-95.712891,1,1,0,0,1,0," Some Bangladeshi men and women who migrate willingly to work in the Middle East, Southern and East Africa, South and Southeast Asia, Europe, and the United States face conditions indicative of forced labor"
67,Bangladesh,23.684994,90.356331,Jordan,30.585164,36.238414,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
68,Bangladesh,23.684994,90.356331,Lebanon,33.854721,35.862285,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
69,Bangladesh,23.684994,90.356331,Syria,34.80207499999999,38.996815,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
70,Bangladesh,23.684994,90.356331,India,20.593684,78.96288,0,1,1,1,1,0, Some women and children are subjected to 92BARBADOSsex trafficking and forced labor in India and Pakistan
71,Bangladesh,23.684994,90.356331,Pakistan,30.375321,69.34511599999999,0,1,1,1,1,0, Some women and children are subjected to 92BARBADOSsex trafficking and forced labor in India and Pakistan
72,Bangladesh,23.684994,90.356331,Burma,21.916221,95.955974,1,0,0,0,0,1, Some Rohingya men who fted to Bangladesh from Burma decades ago have been trapped in debt bondage to Bangladeshi fishermen for 20 years
73,Belarus,53.709807,27.953389,Russia,61.52401,105.318756,1,0,0,0,0,0," Data collected by NGOs suggests the majority of trafficking victims are men subjected to labor exploitation, primarily in Russia"
74,Belize,17.189877,-88.49765,United States,37.09024,-95.712891,0,0,1,1,0,0," In tourist regions, foreign child sex tourists, primarily from the United States, exploit child sex trafficking victims"
75,Belize,17.189877,-88.49765,Mexico,23.634501,-102.552784,1,1,1,0,1,0," Foreign men, women, and childrenŠparticularly from Central America, Mexico, and AsiaŠmigrate voluntarily to Belize in search of work and are often exploited by traffickers who recruit victims using false promises of relatively high-paying jobs or take advantage of migrants' illegal status to subject them to forced labor"
76,Bhutan,27.514162,90.433601,India,20.593684,78.96288,1,0,0,0,0,0," An expanding construction sector continues to increase demand for low-skilled foreign labor, primarily men from India who are vulnerable to trafficking"
77,Bhutan,27.514162,90.433601,India,20.593684,78.96288,0,1,1,0,0,0," While most domestic workers in Bhutan are young girls from poor, rural areas of the country, Indian women and girls also seek employment in this sector"
78,Bolivia,-16.290154,-63.58865299999999,Brazil,-14.235004,-51.92528,0,1,0,1,0,0," To a more limited extent, women from neighboring countries, including Brazil, Colombia, and Paraguay, have been subjected to sex trafficking in Bolivia"
79,Bolivia,-16.290154,-63.58865299999999,Colombia,4.570868,-74.297333,0,1,0,1,0,0," To a more limited extent, women from neighboring countries, including Brazil, Colombia, and Paraguay, have been subjected to sex trafficking in Bolivia"
80,Bolivia,-16.290154,-63.58865299999999,Paraguay,-23.442503,-58.443832,0,1,0,1,0,0," To a more limited extent, women from neighboring countries, including Brazil, Colombia, and Paraguay, have been subjected to sex trafficking in Bolivia"
81,Bolivia,-16.290154,-63.58865299999999,Argentina,-38.416097,-63.61667199999999,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
82,Bolivia,-16.290154,-63.58865299999999,Brazil,-14.235004,-51.92528,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
83,Bolivia,-16.290154,-63.58865299999999,Chile,-35.675147,-71.542969,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
84,Bolivia,-16.290154,-63.58865299999999,Panama,8.537981,-80.782127,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
85,Bolivia,-16.290154,-63.58865299999999,Peru,-9.189967,-75.015152,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
86,Botswana,-22.328474,24.684866,Zimbabwe,-19.015438,29.154857,0,0,1,0,0,0, Undocumented migrant Zimbabwean children might be vulnerable to trafficking in Botswana
87,Brazil,-14.235004,-51.92528,Bolivia,-16.290154,-63.58865299999999,1,1,1,0,1,1," Men, women, and children from other countriesŠincluding Bolivia, Paraguay, Haiti, and ChinaŠare subjected to forced labor and debt bondage in many sectors, including construction, the textile industry (particularly in Sao Paulo), and small businesses"
88,Brazil,-14.235004,-51.92528,Haiti,18.971187,-72.285215,1,1,1,0,1,1," Men, women, and children from other countriesŠincluding Bolivia, Paraguay, Haiti, and ChinaŠare subjected to forced labor and debt bondage in many sectors, including construction, the textile industry (particularly in Sao Paulo), and small businesses"
89,Brazil,-14.235004,-51.92528,China,35.86166,104.195397,1,1,1,0,1,1," Men, women, and children from other countriesŠincluding Bolivia, Paraguay, Haiti, and ChinaŠare subjected to forced labor and debt bondage in many sectors, including construction, the textile industry (particularly in Sao Paulo), and small businesses"
90,Brazil,-14.235004,-51.92528,Paraguay,-23.442503,-58.443832,1,1,1,0,1,1," Men, women, and children from other countriesŠincluding Bolivia, Paraguay, Haiti, and ChinaŠare subjected to forced labor and debt bondage in many sectors, including construction, the textile industry (particularly in Sao Paulo), and small businesses"
91,Brazil,-14.235004,-51.92528,Spain,40.46366700000001,-3.74922,1,0,0,1,0,0, Brazilian men and transgender Brazilians have been exploited in sex trafficking in Spain and Italy
92,Brazil,-14.235004,-51.92528,Italy,41.87194,12.56738,1,0,0,1,0,0, Brazilian men and transgender Brazilians have been exploited in sex trafficking in Spain and Italy
93,Brazil,-14.235004,-51.92528,Paraguay,-23.442503,-58.443832,0,1,1,1,0,0," Women and girls from other South American countries, especially Paraguay, are exploited in sex trafficking in Brazil"
94,Brazil,-14.235004,-51.92528,China,35.86166,104.195397,0,1,0,1,0,0," Brazilian women are subjected to sex trafficking abroad, especially in Western Europe and China"
95,Brazil,-14.235004,-51.92528,United States,37.09024,-95.712891,0,0,1,1,0,0," Child sex tourism remains a problem, particularly in resort and coastal areas; many child sex tourists are from Europe and the United States"
96,Burkina Faso,12.238333,-1.561593,Sri Lanka,7.873053999999999,80.77179699999999,0,1,0,1,1,0," In past years, authorities have identified Nepalese traffickers subjecting Tibetan women to sex trafficking in Burkina Faso and Sri Lankan citizens transiting Burkina Faso allegedly en route to forced labor in a third country"
97,Burkina Faso,12.238333,-1.561593,Nepal,28.394857,84.12400799999999,0,1,0,1,1,0," In past years, authorities have identified Nepalese traffickers subjecting Tibetan women to sex trafficking in Burkina Faso and Sri Lankan citizens transiting Burkina Faso allegedly en route to forced labor in a third country"
98,Burkina Faso,12.238333,-1.561593,Nigeria,9.081999,8.675277,0,0,1,1,0,0, Nigerian girls are exploited in sex trafficking in Burkina Faso
99,Burkina Faso,12.238333,-1.561593,Niger,17.607789,8.081666,0,0,1,1,0,0, Nigerian girls are exploited in sex trafficking in Burkina Faso
100,Burkina Faso,12.238333,-1.561593,Nigeria,9.081999,8.675277,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
101,Burkina Faso,12.238333,-1.561593,Niger,17.607789,8.081666,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
102,Burkina Faso,12.238333,-1.561593,Mali,17.570692,-3.996166,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
103,Burkina Faso,12.238333,-1.561593,Guinea,9.945587,-9.696645,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
104,Burkina Faso,12.238333,-1.561593,Ghana,7.946527,-1.023194,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
105,Burkina Faso,12.238333,-1.561593,Cote d'Ivoire,7.539988999999999,-5.547079999999999,0,0,1,1,1,0," Children from neighboring countries, including Cote d'Ivoire, Ghana, Guinea, Mali, Niger, and Nigeria, are subjected to forced labor and sex trafficking"
106,Burkina Faso,12.238333,-1.561593,Libya,26.3351,17.228331,0,1,1,0,0,0," Burkina Faso is a transit country for traffickers transporting children from Mali to Cote d'Ivoire and women and girls from Cote d'Ivoire to Saudi Arabia, and it is a transit county for Ghanaian migrants traveling to Libya and Italy, some of whom are trafficking victims"
107,Burkina Faso,12.238333,-1.561593,Mali,17.570692,-3.996166,0,1,1,0,0,0," Burkina Faso is a transit country for traffickers transporting children from Mali to Cote d'Ivoire and women and girls from Cote d'Ivoire to Saudi Arabia, and it is a transit county for Ghanaian migrants traveling to Libya and Italy, some of whom are trafficking victims"
108,Burkina Faso,12.238333,-1.561593,Italy,41.87194,12.56738,0,1,1,0,0,0," Burkina Faso is a transit country for traffickers transporting children from Mali to Cote d'Ivoire and women and girls from Cote d'Ivoire to Saudi Arabia, and it is a transit county for Ghanaian migrants traveling to Libya and Italy, some of whom are trafficking victims"
109,Burkina Faso,12.238333,-1.561593,Ghana,7.946527,-1.023194,0,1,1,0,0,0," Burkina Faso is a transit country for traffickers transporting children from Mali to Cote d'Ivoire and women and girls from Cote d'Ivoire to Saudi Arabia, and it is a transit county for Ghanaian migrants traveling to Libya and Italy, some of whom are trafficking victims"
110,Burkina Faso,12.238333,-1.561593,Cote d'Ivoire,7.539988999999999,-5.547079999999999,0,1,1,0,0,0," Burkina Faso is a transit country for traffickers transporting children from Mali to Cote d'Ivoire and women and girls from Cote d'Ivoire to Saudi Arabia, and it is a transit county for Ghanaian migrants traveling to Libya and Italy, some of whom are trafficking victims"
111,Burkina Faso,12.238333,-1.561593,Saudi Arabia,23.885942,45.079162,0,1,0,0,1,0," To a lesser extent, traffickers recruit women for ostensibly legitimate employment in Lebanon, Qatar, Saudi Arabia, andŠto a lesser extentŠEurope and subsequently subject them to forced prostitution"
112,Burkina Faso,12.238333,-1.561593,Qatar,25.354826,51.183884,0,1,0,0,1,0," To a lesser extent, traffickers recruit women for ostensibly legitimate employment in Lebanon, Qatar, Saudi Arabia, andŠto a lesser extentŠEurope and subsequently subject them to forced prostitution"
113,Burkina Faso,12.238333,-1.561593,Lebanon,33.854721,35.862285,0,1,0,0,1,0," To a lesser extent, traffickers recruit women for ostensibly legitimate employment in Lebanon, Qatar, Saudi Arabia, andŠto a lesser extentŠEurope and subsequently subject them to forced prostitution"
114,Burkina Faso,12.238333,-1.561593,Niger,17.607789,8.081666,0,0,1,1,1,0," Burkinabe childrenŠincluding orphan street childrenŠare transported to Cote d'Ivoire, Mali, and Niger for forced labor or sex trafficking"
115,Burkina Faso,12.238333,-1.561593,Mali,17.570692,-3.996166,0,0,1,1,1,0," Burkinabe childrenŠincluding orphan street childrenŠare transported to Cote d'Ivoire, Mali, and Niger for forced labor or sex trafficking"
116,Burkina Faso,12.238333,-1.561593,Cote d'Ivoire,7.539988999999999,-5.547079999999999,0,0,1,1,1,0," Burkinabe childrenŠincluding orphan street childrenŠare transported to Cote d'Ivoire, Mali, and Niger for forced labor or sex trafficking"
